tweet,username,likes_count,date
"#MidnightMass was exceptional. Thought provoking, sad, joyful. A few episodes didn't hit me but episode 6 and 7 were fantastic @netflix @flanaganfilm you are a genius",mjillingworth,0,2021-10-13
Worst ending to a series ever. #MidnightMass,rikpayne2,0,2021-10-13
I wish I could be this succinct. Great summary of my exact experience watching #MidnightMass 👇,timneufeld,1,2021-10-13
Was going to switch away from #MidnightMass but then all these cats turned up on the beach. It reminded me of when I switched away from Lost as soon as I saw those polar bears on the island. Big mistake! I also love that guy from iZombie. 🙌🏻  https://t.co/JOc6c4MuNJ,so20charlotte,1,2021-10-13
Area 51: Earth Abides. The latest in the epic 2 million copy selling series.  https://t.co/5n9MCI1sDU  via @SlideShare #Area51 #scifi #Westworld #DoctorWho #KindleUnlimited #Foundation #MidnightMass  https://t.co/MJbZIo6Goj,giftoffailure,0,2021-10-13
Brilliant Loved it  #MidnightMass  Bev *villain of the year*,finsmegs,0,2021-10-13
I've just watched episode S01 | E04 of Midnight Mass (2021)! #midnightmass  https://t.co/xTQO1MLwHo #tvtime,acciohxran,0,2021-10-13
#MidnightMass was incredible! Get watching it if you haven't already 🤩,leaguelyblonde,1,2021-10-13
@jk_graves Hamish Linklater has an air of John Malkovitch about his intonation in this #MidnightMass,heymisssmith,0,2021-10-13
Mike Flanagan might be a genius #MidnightMass,lo_oud,0,2021-10-13
NAUR THE END OF EPISODE IV GOT ME SO GOOD #MidnightMass 😭😭😭,electricdaisy4,0,2021-10-13
"@netflix should stop ""Next Episode"" feature. Was watching Episode 5 of #MidnightMass by @flanaganfilm while the end credits were rolling, the background sound sent shivers down my spine. I would've missed it if I haven't selected ""Watch Credits"" feature!!!",sai_deepak22,0,2021-10-13
"Onto episode 4 of Midnight Mass tonight, the first three episodes had me transfixed to the TV.😍 Some of the best acting I have seen in years, it is SO good! @RahulKohli13 had me on the ceiling after turning off his sons lamp 😭😂 #MidnightMass",hairyhotdogs,0,2021-10-13
I've just watched episode S01 | E04 of Midnight Mass (2021)! #midnightmass #midnightmass   https://t.co/j6GlMxr70k #tvtime  https://t.co/iThGMy0oWG,o_brunomdc,0,2021-10-13
"Spoliers* I'm watching #MidnightMass for the 2nd time &amp; I'm finding even more layers to it. Eg. the addicts of the town treated like trash, while the priest (&amp; later the others) justify their addictions. This soundtrack is giving me life! Soolaimon &amp; Holly Holy! @flanaganfilm",hugashark,0,2021-10-13
There’s still one question I have about #MidnightMass: ~~~SPOILERS~~~ When the priest dies the second time is it confirmed that it was Bev that was poisoning him? (She killed the dog obvi but was she also trying to kill him before she thought he was Jesus?),lynsneill,0,2021-10-13
"Midnight Mass really makes you think about faith and it’s overall pretty confusing. I would say certain people that don’t like to think about death and religion, should probably not watch it. Not unless you want to have an existential crisis. #MidnightMass",darthmadv,1,2021-10-13
"i don't think i can emotionally, spiritually, physically, psychologically recover from #MidnightMass episode 5.....   ...",mamamamartinn,0,2021-10-13
#MidnightMass   Watched the first episode and based on the dead cats that washed up on shore...I'm pretty sure there's a vampire in Crackpot's mist.,ducky8abug,0,2021-10-13
Have you watched this yet? In-tense! #midnightmass #netflix #limitedseries #religion   https://t.co/sHj0UI5XNz,z93,0,2021-10-13
"That was a first, watching #MidnightMass on Netflix and spotted a vestments error and it was actually a plot point!",vahva,7,2021-10-13
So I just finished #MidnightMass and I want to express my gratitude to @flanaganfilm and the talented actors for making an amazing story,mbedlisi,0,2021-10-13
I never realized what a strong case the Bible makes for vampires #MidnightMass,radiomclean,1,2021-10-13
"Still wondering who would go to a dark, abandoned house alone and for what? Have the people in scary movies/shows never seen scary movies/shows? #MidnightMass",nanagabynka,0,2021-10-13
#MidnightMass. Just gagged TF outta me with this episode.,blackbassclef,0,2021-10-13
The doctor's mother...is it an actual old lady or a make up cause she's been freaking me out #MidnightMass,nanagabynka,0,2021-10-13
#MidnightMass is brilliant!! Thank you @netflix   #Netflix,rebelaxcy,0,2021-10-13
"If you haven't watched #MidnightMass yet, drop what you're doing and get thyself over to #Netflix immediately. New twist on an old genre.",troy_dye,0,2021-10-13
That bleed out was tew much lol #MidnightMass,blackbassclef,0,2021-10-13
"#FatherPaul is mesmerizing, especially when he preaches! I'm sure I'm falling in love with a vampire-devil-priest  #midnightmass",holgersonheath1,0,2021-10-13
I'm sweating??? #MidnightMass,niks_karma,0,2021-10-13
The amount of animal murder in this show already is unacceptable.  #midnightmass,ciannachanel,0,2021-10-13
Uh oh did they mention #Scientology on #MidnightMass ?!??! 👀👀 ding ding ding,blackbassclef,0,2021-10-13
"#MidnightMass was so intense, that I'll not watch TV for at least 2-3 days! Excellence, just sheer pure excellence, from performances, script writing, location ,exploration of darkness in each character, to brutally honest dialogues ,kudos! @flanaganfilm  @k8siegel @midnightmass",mk011020,0,2021-10-13
Just finished episode 5 of #MidnightMass and I- 😭😭😭😭😭,nintendomad888,11,2021-10-13
I liked Midnight Mass. I did fall asleep a few times over the course of the episodes and the dialogue was quite heavy in places but overall I thought it was a decent horror series. #midnightmass,iamdavepen,2,2021-10-13
"""Our Lord sent angels to Egypt to slaughter the first born of the Egyptians, turn cities to salt, women and children alike, and drowned the world when we were too lost to our sins""  Bev Keane in @midnightmass   #midnightmass  #Netflix #tvshow",wilnerboss,0,2021-10-13
"@midnightmass is another emotional, horrifying, delightful ride!   It inspired me to make this artwork of Father Paul played incredibly by Hamish Linklater.  Thank you @flanaganfilm for another successful addition to the collection!  @netflix #midnightmass  https://t.co/VQzXicm39M",pantelisandr,0,2021-10-13
Looks like that fella from #MidnightMass,aaanderso_n,0,2021-10-13
I can't decide whether I'm more traumatised by episode 6 #SquidGame  or episode 5 #midnightmass ... 😭😭😭  https://t.co/PjLdpLPC51,charlottecluca1,0,2021-10-13
Bev is a right CUNT.  #midnightmass,finsmegs,0,2021-10-13
BEV IS GETTING ON MY NERVES #midnightmass (ep 3 😭😭😭😭),cirixnf,0,2021-10-13
The priest from #midnightmass reminds me of Ross from Friends and Nick Cave 🤷🏻‍♀️,fanofthetan,3,2021-10-13
"NFC Podcast Talks 'House of the Dragon,' 'What If...?' Finale, 'Midnight Mass,' and Owls!   https://t.co/6YMcSroVxW  #HouseofTheDragon #WhatIf #MidnightMass",nerdflixchill,0,2021-10-13
"I think watching @zachgilford713 's portrayal of guilt is enough, by itself, of a reason to watch #MidnightMass. I'm in episode 4, listening to his monologue, and it is really something.",tlecaque,4,2021-10-13
Hamish Linklater is reportedly in ICU for carrying all of #MidnightMass on his back 😭🔥  https://t.co/lSQfRGrRf1,levisryann,4,2021-10-13
Incredible #MidnightMass,ebonysheree18,0,2021-10-13
Episode 4 of #MidnightMass is having me bawling my eyes out. Omg.  https://t.co/KbXjynOTgJ,jay12678,0,2021-10-13
"Now watching #MidnightMass S1 E02 ""Book 2: Psalms"" An unsettling omen washes ashore in the wake of the storm; when the locals gather for a potluck, tragedy strikes -- and a miracle occurs. 👻 👀 🎃👦🏻👩 🧑🏽🚔🧟‍♀️🐈‍⬛🏚️ ⚰️ ⛪📖 😈 🌀🌊⚡⛱🕊🐈‍⬛🕊 #netflixandchill  https://t.co/TQS5IMrSvg",tylerman619,0,2021-10-13
After Bly Manor they really said fuck the lesbians by killing a ton of innocent cats! #MidnightMass,nanagabynka,0,2021-10-13
Oh fuck this just got interesting #MidnightMass,niks_karma,0,2021-10-13
Midnight Mass is definitely in the top 3 of my favorite Netflix shows! I really enjoyed @rahulkohli13 ‘s performance! @midnightmassnetflix Absolutely loved it! #midnightmass #rahulkohli  https://t.co/5RxC6Q25nW,haylos_art,0,2021-10-13
Will watching #midnightmass cure my bronchitis? Let’s find out,salfilosa,0,2021-10-13
"#MidnightMass has so many monologues, i need to learn a few for audition purposes",aaliyahjaji,2,2021-10-13
"Ok so this one of them if you can’t beat em, join em type shows huh? Lol #MidnightMass  https://t.co/LkRjaO5HtJ",lowkeyzzeee,0,2021-10-13
#MidnightMass just show how crazy yt people are,calviface,0,2021-10-13
#MidnightMass is one of the coolest things I’ve ever watched.,wiktoriasnig,3,2021-10-13
"Show lit, def recommend  #MidnightMass  https://t.co/A8iWGVvMM0",lowkeyzzeee,0,2021-10-13
2 episodes in #MidnightMass and although it's a weird show... I'm invested and want to know more.  https://t.co/u91QxfXWTc,00_rayne,1,2021-10-13
#MidnightMass is getting creepy by the episode,calviface,0,2021-10-13
Naw because these people are acting their ass off #MidnightMass,kitastale,0,2021-10-13
Jim Jones? #MidnightMass,lo_oud,0,2021-10-13
Psychosis is a communicable disease. #MidnightMass,vik0315,0,2021-10-13
I don't know how I got hooked on #MidnightMass but now I remember why I don't watch horror stories. I am freaked out in broad daylight!  https://t.co/EV2LehxG6R,teachforaliving,7,2021-10-13
Hi can someone please talk to me about #MidnightMass,laurenmcevoyy,0,2021-10-13
"Just finished #MidnightMass on Netflix. Do you know how terrifying it was hearing @zachgilford713 read out loud my thoughts on religion and death, almost verbatim. It left me more shook than any scene in the series. @flanaganfilm thanks for incorporating that element into it.",jebbs10,0,2021-10-13
watching #MidnightMass &amp; hoping it’s just creepy enough not to stimulate a lil existential crisis.,lilbabyuncouth,7,2021-10-13
#MidnightMass is not for the mainstream audience for sure.  https://t.co/EvSURU5pjW,afnanaas,0,2021-10-13
Bev is fucking scary #MidnightMass,isakills,1,2021-10-13
"I really enjoyed #MidnightMass from start to finish it seeped in this culty low population off the grid towny horror feeling like Carpenter’s The Fog, the writing was incredible and I loved how the first couple episodes were shot and some of the performances were phenomenal.",samburton18,1,2021-10-13
Phew. The Sheriff’s monologue to the doctor in Ep6 of #MidnightMass…  https://t.co/dPwLICI6C0,anthonydsparks,1,2021-10-13
Episode 7 of #MidnightMass was slower than I expected it to be although I suppose it couldn’t really go higher than 6 did still a nice calming end to the series albeit still messed up.,samburton18,0,2021-10-13
"#MidnightMass, Book V: Gospel, Last 10 minutes. Me:  https://t.co/WFLKJ2Qd2Q",elpior,0,2021-10-13
Watching #MidnightMass and I’ll just leave you with this. @RahulKohli13 @johnkrasinski  https://t.co/KehPVMbf4c,sandramarcela,1,2021-10-13
"Aside from the classics,  we're supposed to get around to #MidnightMass with @croptopdroptop. Also wondering if #FearStreet is any good.",writersvkkv,2,2021-10-13
"#MidnightMass had really beautiful writing. The dialogue, nuances, everything.",kirunobi,1,2021-10-13
The last episode of #MidnightMass might be some of the WORST tv I’ve ever watched…..,shurikenzen,0,2021-10-13
Watching  the horror show  #MidnightMass  on Netflix  🔥🖤  🏚️  have you seen it  https://t.co/u704YObO2S,ashleycarratura,5,2021-10-13
The actress that played Bev Keane killed it!! #midnightmass,kirunobi,0,2021-10-13
"Happy Hump Day one and all!   If you’ve finished #SquidGame and #MidnightMass and you’re looking for some more horror in your life, fear not for we’ve got you covered!  Check out our recommendations below 👇   https://t.co/u6rdEew9eK  #31NightsOfHalloween #31DaysOfHorror",cmthpodcast,10,2021-10-13
—&gt; ICYMI: We summoned @NeilRamjee to continue Spooky Movie Month and talk about THE EMPTY MAN. Also discussed: #MidnightMass and #Titane! Listen today! #PodernFamily #PodcastHQ  https://t.co/LSDyjr4lWt  https://t.co/5wQI9NcVfE,1sttimewatchers,9,2021-10-13
VAMPIRES?! damn it. I hate it. #MidnightMass,javiplatano,3,2021-10-13
🚨MIDNIGHT MASS SPOILERS🚨  So in the context of #MidnightMass would Jesus have been a Vampire?,mikeleegraham,11,2021-10-13
ending ep 5 #MidnightMass whattheffffffff 🤯,shyymoni,0,2021-10-13
he told yall ass that mf thang was gone unleash on y'all #MidnightMass,nicklasoul,0,2021-10-13
After making a fanart about #MidnightMass and then #BlyManor here comes #HillHouse  https://t.co/3szgDiCK5d,valentine_srz,2,2021-10-13
its okay father paul its an honest mistake #MidnightMass  https://t.co/FCPgiwutYZ,catboycopia,50,2021-10-13
"We have gathered here today to talk about this miracle called #MidnightMass, and the salvation it has brought to the Netflix horror genre.   Full review:  https://t.co/JBSwW5aiAz  https://t.co/LqNtjdmMpL",howwasthatmovie,0,2021-10-13
I knew #Bev was crazy when I first saw her with her sweaters and stupid ass ponytail! #MidnightMass @flanaganfilm @k8siegel 🤣🤣,theycallmekeef,0,2021-10-13
"#MidnightMass (spoiler alert) (life alert)  Father Paul: Sometimes it's okay to just look at the world and say, ""Why? Why? Why? I don't understand. And I will not."" Yeah, sometimes that's okay.  Riley: Yeah, I actually agree with that.  Father: Well, it's hard not to, isn't it?",timneufeld,2,2021-10-13
Someone please give Hamish Linklater an Emmy #MidnightMass  https://t.co/v6X0JT4PC5,whitewolfrivia,13,2021-10-13
Haim about his ending scene in #MidnightMass 😅  https://t.co/UblifCi2N4,benedictall,1,2021-10-13
“Midnight Mass wasn’t as good as Hill House.” 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩 #MidnightMass,ashleypaulette,1,2021-10-13
#MidnightMass got overshadowed by #SquidGame sadly. Both good shows. Midnight Mass was absolutely amazing! Visually pleasing if I’m being honest. Hell of a season!,mylesed33,0,2021-10-13
I watched #MidnightMass about a week ago. I'm still thinking about it. It was so intense &amp; it just stuck with me. @flanaganfilm thank you👏,stufforfunami,0,2021-10-13
Don’t I look like the monster from #MidnightMass  https://t.co/srdNKgQnU0,monkeyman2411,1,2021-10-13
Midnight Mass Alt Poster by @JoeWehnert  #MidnightMass @flanaganfilm  https://t.co/QCOsraX8Yr,_spectrevision,137,2021-10-13
#MidnightMass was awesome,stokley07,0,2021-10-13
"""While differing from the plots of his previous work, Flanagan’s new miniseries maintains the same haunting feel fans have come to love."" -- Check out Lily Williams's review of @midnightmass, now streaming on @netflix! #Netflix #MidnightMass    https://t.co/xbz77zLgU9",tvtea_,1,2021-10-13
"@jeffreyhoward33 It’s most curious that I’ve seen this tweet, as I’ve just started watching Ep04 of #MidnightMass. Bravo (for what it’s worth) from a budding screen writer! ✨✌🏾✨",martinotoole,0,2021-10-13
Djing a house party this Friday tap in if u interested Harlem location #31NightsOfHalloween #31DaysofHorror #djdredanime #7NEWS #Midnightmass #kompa #blerd #weeb #boozygamenight845,dredmarv,0,2021-10-13
Episode 6 of #MidnightMass is potentially one of the most insane episodes of television I’ve ever seen. So many huge moments to discuss but I don’t wanna spoil it for anyone. Thanks again @flanaganfilm,samburton18,1,2021-10-13
What a character. Truely make me hate her 100% slapping mode. Hate you Bev!! #MidnightMass,iamnothingsrs,2,2021-10-13
"I can't say that #MidnightMass has too much filler, but Episode 4 was a total drag.",yadiyzakwan,0,2021-10-13
WTF was that! Midnight Mass #MidnightMass,sagargiri46,1,2021-10-13
I srsly want to slap so bad this character #MidnightMass,iamnothingsrs,1,2021-10-13
NEW EPISODE - The Boo Crew Attend a Special MIDNIGHT MASS with Kate Siegel and Mike Flanagan! @k8siegel @flanaganfilm @TheNewtonBros @intrepid @netflix #horror #MidnightMass @BDisgusting All Podcast Episode Links Available here:  https://t.co/ushaXzJFI7  https://t.co/0zwg4BARHg,talesfromtheboo,74,2021-10-13
"***Semi-spoiler alert #MidnightMass question:  ***  Are there two separate healing/resurrecting/immortality operatives in Midnight Mass? Angel bites=youthfulness, blood consumption=healing??? The rules didn’t seem clear.",reamofpaper,0,2021-10-13
"@quietlyloudA Thanks. Have you seen #MidnightMass? Where would you put that, I was fine with it.",amscanlon,0,2021-10-13
"Damn, Mike Flanagan... you’ve outdone yourself! #MidnightMass",landelosantos,1,2021-10-13
I love how lately I've been willingly putting myself through TV shows that I KNOW are gonna screw with my head and my emotions😩😭 #SquidGame #MidnightMass #TedLasso,brunnatozzi,1,2021-10-13
"Actor Quinton Boisclair turning into the ""Angel"" of #MidnightMass   📸 | @/quintonboisclair on Instagram.  https://t.co/HcOblGNKOl",flanagansource,64,2021-10-13
"#MidnightMass will remind you of many of the culty parts of Mormonism, the best culty parts that make the church true #utah #ldsconf",presidentludlow,0,2021-10-13
"Does this track give me chills because of how beautiful it is, or because I know what it leads up to... #MidnightMass  #ProbablyBoth @TheNewtonBros  https://t.co/ANeF18Aqxx",annefirefly,0,2021-10-13
Why did the end of #MidnightMass feel like an amateur school play gone to shit!!,pscripturient,0,2021-10-13
Idk why #MidnightMass is still sitting in my head. There was so much to glean from it.,melaniamedicixx,0,2021-10-13
I'm pretty sure Bev Keane was poisoning Father Paul. #MidnightMass,basically29,0,2021-10-13
"If I had known I would be mainlining the #MidnightMass soundtrack for the past 3 weeks straight to get me through what can only be described as emotional withdrawal and undoubtedly the worst experience of my life, I would've given it a higher rating on letterboxd.",ramsonmars,1,2021-10-13
Overrated. #MidnightMass,yadiyzakwan,0,2021-10-13
#MidnightMass is a well-written Stephen King ripoff; predictable at every turn... 3.5/5,leftofthejokers,0,2021-10-13
Does this look like a fucking angel to you?  #MidnightMass  https://t.co/QKeL3lPvcL,crispianleong,2,2021-10-13
Bruh. That 4th episode of #MidnightMass has me fucked up.,drvnkyourtears,1,2021-10-13
"Never, and I mean never, have I ever heard such a beautiful explanation of death. Or more, what happens after. From both a religious side and a non-religious side. Wow. Simply wow. I am without words and literally still crying as I type this  #MidnightMass",averagelesbean,0,2021-10-13
"thank you for the story, #MidnightMass    https://t.co/lY1o1GcGf9",hisunicohijo,0,2021-10-13
I need to do stuff today but I started #MidnightMass and now I can’t stop watching.  https://t.co/cyDpyaOcII,jeegztv,1,2021-10-13
Bev from #MidnightMass gives me Bellatrix Lestrange energy. Lunatic cultist.,norgliostro,0,2021-10-13
There's just a tad too many monologues in this movie 🙄😴 I won't give any spoilers per usual but it's a good horror movie overall 💯👍 #MidnightMass,cazzsingson,0,2021-10-13
It isn’t about us anymore. It’s about everyone else in the world.   get these on  https://t.co/vxNxO1dlH5  #MidnightMass  https://t.co/AYl8HE6dBi,tantawan016,1,2021-10-13
"Out of all of the @netflix Mike Flanagan shows, #MidnightMass is my favorite. I love the characters, the story pacing, the cliffhanger endings to each episode and it has an ending that left me feeling very satisfied by the whole experience. Amazing work! 👏🏾👏🏾",reppindatqueso,2,2021-10-13
Just Girly Things #MidnightMass edition  https://t.co/FUJzQ1saAA,fa_jaylo,0,2021-10-13
father paul looks like benevolent nick cave #midnightmass,vyetrushka,1,2021-10-13
That guy was stoopid for going in that house #MidnightMass,faizakhan_art,1,2021-10-13
Loved the conversations between these two. #MidnightMass  https://t.co/ITkR8VkyvE,fizzy_lift,6,2021-10-13
"50 minutes into episode 2 of Midnight Mass and it's been a very slow burn so far, I'm good with that but Mrs B is losing the will.... #MidnightMass",boyer316new,0,2021-10-13
#MidnightMass does an awesome job of portraying microaggression and bias based on religious beliefs in a more real way than anything else I've ever seen. Hopefully other show-writers will take notes.,chickinjoeknows,0,2021-10-13
The least believable part of #MidnightMass was there wasn't a single tone-deaf member of that congregation.,annasweir,2,2021-10-13
I've just watched episode S01 | E07 of Misa de medianoche! #midnightmass   https://t.co/ve8f8P9JT9 #tvtime  https://t.co/EZmtpApZMn,dahnip,0,2021-10-13
"I’m watching #MidnightMass and i feel like @annabethgish doesn’t get her props for being the lesbian icon that she is. She’s been giving since the X-files, her and @GillianA together 😍",gk4lyfe158,1,2021-10-13
I've just watched episode S01 | E07 of Midnight Mass (2021)! #midnightmass   https://t.co/caix412wWG #tvtime  https://t.co/nL0DM39lO9,crypt_crawler,0,2021-10-13
"We’re back this week with another episode, and this time it’s actually audible!  We discuss things we’ve seen or heard this year that we’ve enjoyed, such as #MareOfEasttown, #WhiteLotus, and #MidnightMass  We also give a quick rundown of albums we think you guys should check out!  https://t.co/WYybDAy0lw",trashtimepod,2,2021-10-13
@_theundertaking me also thinking i need to watch #YTheLastMan &amp; #MidnightMass  https://t.co/lhw118yWt5,seanxmott,3,2021-10-13
"Hot nun, but more ticc and hot, :3 I was too lazy to add anything else, but the drawing is there #DailyEstelaDraw #Sarvente #MidnightMass #fridaynightfunkin #fnffanart #fanart  Character by:@liljuliax, that sweet person :3  https://t.co/uaCgWcnuoV",speedinglucas34,15,2021-10-13
@ETERNALSNEWS I see the eyes of Crockett Island people #MidnightMass 😂😂,gowessryan,1,2021-10-13
"Anyone else watch #MidnightMass? Absolutely loved that. Horror and religion, it was like I was living in the suburbs again.",careerdayny,2,2021-10-13
"If Ali ends up getting my man - his father - killed because of his stupidity, I will riot. #MidnightMass",blehmehgah,0,2021-10-13
That’s not an angel! That’s a fucking aswang! #MidnightMass,eunyyycorn,0,2021-10-13
#MidnightMass is CRAZY CRAZY CRAZY IM GONNA SAVE THE LAST EP FOR TOMORROW FCK U BEV I HATE U THE MOST,112d_,0,2021-10-13
"On Wednesdays, we watch #MidnightMass.",badcatholicguy,0,2021-10-13
@krbe @radioryanchase @RADIOROULA #MidnightMass is binge worthy! You have to 👀,mastermediamind,0,2021-10-13
"#MidnightMass creator Mike Flanagan says his new Netflix show is going to be insane. ""It is an explosion. It is as aggressive and rock ‘n roll and over the top and just violent and insane and horrific as anything I have ever done… by a lot,"" he said. (Via: @BDisgusting)  https://t.co/iMuVzWJE95",bingewatchthis_,30,2021-10-13
"""Bev, I want you to listen to me. Your whole life I think you've needed to hear this: YOU AREN'T A GOOD PERSON. God doesn't love you more than anyone else. Why does that upset you so much? Just the idea that God loves everyone just as much as you?"" ~ Annie Flynn, #MIDNIGHTMASS  https://t.co/w9jDUuPZeC",hisunicohijo,2,2021-10-13
