tweet,username,likes_count,date
"#TheGuilty is essentially an exact copy of the original 2018 film. I watched the two back-to-back and the only visible differences I found in the story are that fires are questionably added, Asger/Joe has a daughter, the journalist is used again, the baby is alive, and that Asger",gembiscuits,1,2021-10-13
"#TheGuilty on netflix … 👎🏽 it gave me off brand Halle Berry and The Call vibes with a twist, except he never left that building",jaibaii,2,2021-10-13
#TheGuilty was trash!,401sha,0,2021-10-13
Was going to watch #Maid but y'all seem traumatized and stressed by it....so I'll check out #TheGuilty,rimzzzeee,0,2021-10-13
"🤔 #TheGuilty film available now @netflix was ok! Could be better put it more weight to the story but still, was alright with great performance of #JakeGyllenhaal  https://t.co/JPpNsylU3M",filmesrome,0,2021-10-13
Yeah def a waste of a movie.. #TheGuilty 😒😒,3_oh_5,0,2021-10-13
The Guilty  #TheGuilty #theguiltynetflix #JakeGyllenhaal #Netflix  https://t.co/a4BorskPlM,movieushermx,0,2021-10-13
@Brewers This series was clearly an indicator of @ChristianYelich shaving points off. Also Time to rebuild. Entire Brewers staff should be force to watch #TheGuilty terrible movie on @netflix,anirritatedmind,1,2021-10-13
@netflix #TheGuilty was the worst movie I ever watched in a decade beating @NicholasCage64 movies. What a waste of time.,anirritatedmind,0,2021-10-13
Watching #TheGuilty on Netflix with babe and it’s soo fckn good!,eknievel,0,2021-10-13
This movie every damn where! 🙄🤦‍♀️ #TheGuilty,3_oh_5,1,2021-10-13
#TheGuilty is STRAIGHT ASS 😂😂😂😂,livingiconchey,0,2021-10-13
Soooooo this is like Cellular #TheGuilty,knightgambit,2,2021-10-13
Lets goooo #TheGuilty  https://t.co/dxHm1dQFA0,knightgambit,0,2021-10-13
Seems like a setup to me #TheGuilty,aishabeezwityrn,0,2021-10-13
The damn black lady giving this man hell on the phone 😂😂😂 #TheGuilty,3_oh_5,0,2021-10-13
Some suggestions of what to watch after #TheGuilty.  https://t.co/PbpYWLxXoO,collider,13,2021-10-13
I keep falling asleep on #TheGuilty on netflix and it’s top ten 🙄,kaaymarsh,0,2021-10-13
"@ToneDigz slandering #theguilty probably because he was scared. It was intense, it's understandable to be scurred.  It was a decent short movie, get off Jake.",qbgh,0,2021-10-13
Enjoyed #TheGuilty. Tense thriller that reminded me of The Phone Booth. Good performance by Jake Gyllenhaal. #Netflix @netflix,sirmannyg,0,2021-10-13
Make #Tuesday #night #movienight when you tap  https://t.co/XQX9GBX9ZY to download our #movie #review #podcast for the following #movies #Venom #LetThereBeCarnage #TheManySaintsOfNewark #TheGuilty #Titane #Queenpins #Elvira #MistressOfTheDark #WhatIf  https://t.co/YRDaKjjovk,movie_toast,0,2021-10-13
Now y’all done hyped up #TheGuilty and that movie wasn’t talking about ish 😒 #Netflix,gapeach2009,0,2021-10-13
"This nigga said ""breathe with me"" but he can't even breathe trying to use a damn inhaler coughing up a lung #TheGuilty",postboykeylo,0,2021-10-13
"Netflix is loaded now. Should I watch #SquidGames, #TheGuilty, or #TheCloser ?",stuck_inthe90s,0,2021-10-13
"#JakeGyllenhaal is an amazing actor (duh, but I just have to say it). #TheGuilty is so fucking good.",omgmonicashere,0,2021-10-13
Just watched #TheGuilty on Netflix. My verdict  https://t.co/yyUBhqTS66,haf_025,1,2021-10-13
Watching #TheGuilty even though Ollie has already watched it and said it was bab….however Jake Gyllenhaal,amberstripes19,1,2021-10-13
#JakeGyllenhaal’s performance in this thriller is pretty gripping. #TheGuilty,rcar93,1,2021-10-13
"(1) So I just watched #TheGuilty on @netflix and I have some theories… ⚠️⚠️SPOILERS⚠️⚠️What if the “incident” happened with his 19 year old brother and his father and that’s why he was so emotionally involved? Using your firearm as an officer, especially",bodybendersage,0,2021-10-12
#TheGuilty on #Netflix was pretty damn tense (I'd not seen the original film it was based on). Great acting from Jake.  https://t.co/Cl6MkhkSwf,the_matt_shaw,3,2021-10-12
yoooo @billburr do my ears deceive me or did I hear your glorious vocals in Jake gyllenhaals new flick “#TheGuilty”? 🤣🤣,johnnyr75952074,0,2021-10-12
Broken people save Broken people #JakeGyllenhaal #TheGuilty  https://t.co/IXkdFFTiS9,martinamaran17,0,2021-10-12
"I haven't seen Jake Gyllanhall in #TheGuilty on Netflix yet. And it really may be great! I plan to watch it. That said, I hope you ALSO watch the original. It really is stunning. One option:  https://t.co/7VLUnaNyUm  https://t.co/rHgMysqeJu",rothcornet,38,2021-10-12
"I just watched #TheGuilty in @netflix . 100% recommendable. It´s basically a ""solo"" thriller movie.",rodda2206,0,2021-10-12
Broken people save broken people  #Netflix  #TheGuilty  #movie,hussainhaidari,0,2021-10-12
#TheGuilty is not the first thing to check out on #Netflix but the film is captivating and keeps you engaged during the entire 90 minutes. Worth checking out if you’re a fan of movies like Phonebooth.  https://t.co/wPKcmrXZOS,thespoilersteve,0,2021-10-12
Watched #TheGuilty on #Netflix. Jake Gyllenhaal is phenomenal. The movie is intense at some point but the plot is kinda dragged imo. Only watchable because of Jake's performance. 3.5/5,cameow_7,0,2021-10-12
The twist of it all #TheGuilty,gilbody_ryan,0,2021-10-12
Why would I decide to watch #TheGuilty prior to going into work 😩🤦🏽‍♀️,queenaintshit,0,2021-10-12
#THEGUILTY on @netflix is kinda gooood “broken people save broken people” -,cormierchaney,0,2021-10-12
#TheGuilty is horrible lol. they literally threw a movie together to tug at heart strings with absolutely zero plot structure what-so-ever. and just tossed in CA wildfires for some substance that was completely irrelevant lol #theguiltynetflix,gamingnatural_,0,2021-10-12
#TheGuilty with #JakeGyllenhaal is the type of movie that would have been a theatrical bomb but should be a deserved success on @Netflix. And I may be the only person who was reminded of The Slender Thread when I watched it.,silverscrvideos,0,2021-10-12
#TheGuilty is freaking awesome.. Jake screen presence is terrific.. #JakeGyllenhaal,sleepyhead_an,0,2021-10-12
