tweet,username,likes_count,date
how alex’s life has changed in #maid 🥺 &gt;&gt;&gt;,elsasashimi,0,2021-10-13
time to catch up on #maid,beomgyubieber,0,2021-10-13
What a track from ⁦@netflix⁩  #maid The Let Go by Elle King.  https://t.co/n6J9xTIxn0,jobrain,0,2021-10-13
Sean is annoying 🙄#Maid,sophistikay2,0,2021-10-13
Glad Paula got some rude awakening from her con bf that she blamed all his shortcomings on her daughter #Maid,sophistikay2,0,2021-10-13
Thank you so much to everyone that stopped by my social eating that turned to my maid dress cosplay stream! I can’t believe how I hit both the sub goal AND 200 followers in the same stream! I love you all so much 💓  #maid #twitch  https://t.co/dVWMxP34EU,marteemilie4,3,2021-10-13
If you’re needing something to watch after #Squidgame I recommend #Maid. Both series’ will stay with me for a while.,codywitch,0,2021-10-13
#maid does a good job of reminding us the shitty people aren't always shitty &amp; the good people aren't always good,hotbkelly,1,2021-10-13
"Alex is so patient with her mom, no ways 😂 #Maid",sophistikay2,0,2021-10-13
"@netflix  Just watched the stupidest story ever. #Maid from Missoula author #StephanieLand. I never watched anything this dumb. So hard to watch somebody make all the wrong choices, over &amp; over again. #MaidReviews  https://t.co/HqnRnnAn45",comics_vs_films,0,2021-10-13
To the people always wondering why don’t women just leave their abusers (abusive partners)…and just wanna know more about DV (domestic violence) I highly recommend for y’all to watch #Maid on Netflix. #MAIDNetflix,rachtaughtyou,0,2021-10-13
Have y’all watched #Maid on Netflix? #MAIDNetflix,rachtaughtyou,1,2021-10-13
#MAID is stressing me tf out. This storyline.,neemaakili,1,2021-10-13
"of navigating the social services system, subsidized daycare and housing. This series shows all of these things masterfully which makes it a real gem. Oh! And Andie MacDowell!!!! #MAIDonNETFLIX #DomesticViolence #women #DomesticAbuse #maid",aneesamunaf,0,2021-10-13
I started #MAID last night and fell asleep lol i guess I’ll try again today,ruuuelala,1,2021-10-13
@aherman2006 @ringer #maid is fantastic but man does it really hit you in the gut …,merman2000,0,2021-10-13
"#Maid, once again Alex makes a HORRIBLE decision. Why tf would you even throw that party at your NEW residence?",jtherealjerm,1,2021-10-13
Have you seen the #Top10 chart of #NetflixIndia today?  The top 4 are stunning.  #SquidGame #HouseOfSecrets : #TheBurariDeaths #TheEqualizer2 #MAID  Our suggestion: All 4 of these deserve your attention 🤩  How many have you watched? Did you like what you saw? Mention your pick  https://t.co/ttSTWxqcsI,bingedhelps,10,2021-10-13
I haven’t seen Alex take not one shower. #MAID,msjah_,3,2021-10-13
#Maid is real stuff on @netflix. Loved every episode.,tehreemazeem,13,2021-10-13
Andie MacDowell is my whole mood in #MAID 🤣👌🏾  https://t.co/Xk1mckAOJA,courageokoli,0,2021-10-13
#Maid got me,yanzii246,1,2021-10-13
We offer FREE instant cleaning Quote  https://t.co/0TgUBSHr8Q #Miami #CleaningService #Maid,miami_cleaning,0,2021-10-13
